filename,width,height,class,xmin,ymin,xmax,ymax
Wenda01.jpg,200,200,wenda,98,35,116,75
Wenda02.jpg,200,200,wenda,77,32,100,68
Wenda03.jpg,200,200,wenda,94,67,117,99
Wenda04.jpg,200,200,wenda,85,45,112,93
Wenda05.jpg,200,200,wenda,70,48,98,92
Wenda06.jpg,200,200,wenda,68,47,119,107
Wenda07.jpg,200,200,wenda,75,39,105,85
Wenda08.jpg,200,200,wenda,69,39,113,97
Wenda09.jpg,200,200,wenda,73,70,109,125
Wenda10.jpg,200,200,wenda,72,48,121,124
Wenda11.jpg,200,200,wenda,67,45,119,109
Wenda12.jpg,200,200,wenda,75,42,114,97
Wenda13.jpg,200,200,wenda,56,28,114,104
Wenda14.jpg,200,200,wenda,44,16,96,90
Wenda15.jpg,200,200,wenda,56,43,108,106
Wenda16.jpg,200,200,wenda,75,31,123,96
Wenda17.jpg,200,200,wenda,65,34,114,99
Wenda18.jpg,200,200,wenda,62,28,113,93
Wenda19.jpg,200,200,wenda,74,34,115,95
Wenda20.jpg,200,200,wenda,62,41,108,109
Wenda21.jpg,200,200,wenda,71,67,121,136
Wenda22.jpg,200,200,wenda,108,47,153,103
Wenda23.jpg,200,200,wenda,57,45,113,125
Wenda24.jpg,200,200,wenda,61,42,93,91
Wenda25.jpg,200,200,wenda,40,27,81,86
Wenda26.jpg,200,200,wenda,47,40,106,121
Wenda27.jpg,200,200,wenda,70,15,122,99
Wenda28.jpg,200,200,wenda,58,28,105,101
Wenda29.jpg,200,200,wenda,64,26,108,103
Wenda30.jpg,200,200,wenda,89,34,126,86
Wenda31.jpg,200,200,wenda,77,59,103,109
Wenda32.jpg,200,200,wenda,68,40,112,110
Wenda33.jpg,200,200,wenda,74,68,128,139
Wenda34.jpg,200,200,wenda,59,33,104,103
Wenda35.jpg,200,200,wenda,63,19,113,90
Wenda36.jpg,200,200,wenda,55,52,104,113
Wenda37.jpg,200,200,wenda,70,50,103,112
Wenda38.jpg,200,200,wenda,71,23,120,97
Wenda39.jpg,200,200,wenda,59,42,97,105
